MyUnknownColumn,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
247,verna,2015,595000.0,940000.0,36000,Petrol,Dealer,Manual,0
179,Honda Karizma,2010,31000.0,105000.0,213000,Petrol,Individual,Manual,0
120,Bajaj Pulsar RS200,2016,105000.0,126000.0,5700,Petrol,Individual,Manual,0
231,verna,2017,925000.0,940000.0,15001,Petrol,Dealer,Manual,0
261,brio,2016,550000.0,597000.0,5600,Petrol,Dealer,Manual,0
127,Bajaj Avenger 150,2016,75000.0,80000.0,7000,Petrol,Individual,Manual,0
74,etios cross,2014,490000.00000000006,893000.0,83000,Diesel,Dealer,Manual,0
29,ciaz,2015,745000.0,1038000.0000000001,45000,Diesel,Dealer,Manual,0
83,innova,2015,1250000.0,1346000.0,38000,Diesel,Dealer,Manual,0
245,verna,2012,520000.0,940000.0,71000,Diesel,Dealer,Manual,0
107,Royal Enfield Thunder 350,2013,125000.0,150000.0,15000,Petrol,Individual,Manual,0
155,Honda Activa 4G,2017,48000.0,51000.0,4300,Petrol,Individual,Automatic,0
283,city,2016,899000.0,1180000.0,9010,Petrol,Dealer,Manual,0
254,city,2013,525000.0,990000.0,54242,Petrol,Dealer,Manual,0
192,Hero Hunk,2007,20000.0,75000.0,49000,Petrol,Individual,Manual,1
218,verna,2014,645000.0,940000.0,45078,Petrol,Dealer,Manual,0
65,etios liva,2014,475000.0,695000.0,45000,Diesel,Dealer,Manual,0
200,Bajaj Pulsar 150,2006,10000.0,75000.0,92233,Petrol,Individual,Manual,0
85,camry,2006,250000.0,2373000.0,142000,Petrol,Individual,Automatic,3
215,verna,2012,450000.0,940000.0,36100,Petrol,Dealer,Manual,0
159,Honda Activa 4G,2017,45000.0,51000.0,4000,Petrol,Individual,Automatic,0
12,ciaz,2015,750000.0,994000.0,15000,Petrol,Dealer,Automatic,0
35,sx4,2011,295000.0,774000.0,49998,CNG,Dealer,Manual,0
28,alto k10,2010,195000.0,395000.0,44542,Petrol,Dealer,Manual,0
142,Yamaha FZ  v 2.0,2015,60000.0,84000.0,29000,Petrol,Individual,Manual,0
193,Hero  Ignitor Disc,2013,20000.0,65000.0,24000,Petrol,Individual,Manual,1
131,Yamaha FZ 16,2015,75000.0,82000.0,18000,Petrol,Individual,Manual,0
172,Bajaj Pulsar 135 LS,2014,40000.0,64000.0,13700,Petrol,Individual,Manual,0
51,fortuner,2015,2300000.0,3061000.0,40000,Diesel,Dealer,Automatic,0
95,corolla altis,2012,585000.0,1861000.0,72000,Petrol,Dealer,Manual,0
210,i10,2012,310000.0,459999.99999999994,35775,Petrol,Dealer,Manual,0
222,i20,2014,600000.0,760000.0,77632,Diesel,Dealer,Manual,0
41,alto k10,2014,254999.99999999997,398000.0,46706,Petrol,Dealer,Manual,0
89,etios g,2014,475000.0,676000.0,40000,Petrol,Dealer,Manual,0
219,verna,2012,450000.0,940000.0,36000,Petrol,Dealer,Manual,0
136,Honda CBR 150,2014,65000.0,120000.0,23500,Petrol,Individual,Manual,0
26,swift,2013,415000.00000000006,587000.0,55138,Petrol,Dealer,Manual,0
294,amaze,2014,375000.0,680000.0,33019,Petrol,Dealer,Manual,0
141,Bajaj Avenger 150 street,2016,60000.0,80000.0,20000,Petrol,Individual,Manual,0
202,grand i10,2015,440000.00000000006,570000.0,28200,Petrol,Dealer,Manual,0
0,ritz,2014,335000.0,559000.0,27000,Petrol,Dealer,Manual,0
269,city,2015,670000.0,1000000.0,18828,Petrol,Dealer,Manual,0
273,jazz,2010,225000.0,750000.0,61203,Petrol,Dealer,Manual,0
100,Royal Enfield Thunder 500,2016,175000.0,190000.0,3000,Petrol,Individual,Manual,0
260,city,2016,915000.0,1360000.0,29223,Petrol,Dealer,Manual,0
103,Bajaj Dominar 400,2017,145000.0,160000.0,1200,Petrol,Individual,Manual,0
171,Hero Passion Pro,2015,40000.0,55000.00000000001,6700,Petrol,Individual,Manual,0
98,corolla altis,2013,705000.0,1861000.0,45000,Petrol,Dealer,Manual,0
36,dzire,2015,465000.00000000006,720000.0,48767,Petrol,Dealer,Manual,0
61,etios cross,2015,450000.0,770000.0,40588,Petrol,Dealer,Manual,0
150,TVS Apache RTR 180,2011,50000.0,82600.0,6000,Petrol,Individual,Manual,0
238,verna,2013,480000.0,940000.0,60241,Petrol,Dealer,Manual,0
204,eon,2015,275000.0,443000.0,28282,Petrol,Dealer,Manual,0
244,verna,2013,595000.0,940000.0,49000,Diesel,Dealer,Manual,0
11,ciaz,2015,685000.0,1038000.0000000001,51000,Diesel,Dealer,Manual,0
297,brio,2015,400000.0,590000.0,60000,Petrol,Dealer,Manual,0
268,brio,2017,480000.0,580000.0,19000,Petrol,Dealer,Manual,0
27,swift,2017,600000.0,649000.0,16200,Petrol,Individual,Manual,0
221,i20,2013,450000.0,679000.0,32000,Petrol,Dealer,Automatic,0
4,swift,2014,459999.99999999994,687000.0,42450,Diesel,Dealer,Manual,0
122,Royal Enfield Bullet 350,2016,105000.0,117000.0,6000,Petrol,Individual,Manual,0
32,swift,2014,495000.0,749000.0,39000,Diesel,Dealer,Manual,0
206,xcent,2017,575000.0,713000.0,12479,Petrol,Dealer,Manual,0
162,Bajaj Pulsar NS 200,2012,45000.0,99000.0,14500,Petrol,Individual,Manual,0
211,elantra,2015,1175000.0,1479000.0,43535,Diesel,Dealer,Manual,0
258,city,2015,840000.0,1360000.0,25000,Petrol,Dealer,Manual,0
138,Honda CB Hornet 160R,2016,60000.0,87000.0,15000,Petrol,Individual,Manual,0
62,fortuner,2014,1875000.0,3596000.0,78000,Diesel,Dealer,Automatic,0
135,Bajaj Pulsar 150,2015,65000.0,74000.0,5000,Petrol,Individual,Manual,0
128,Honda CB Hornet 160R,2017,80000.0,87000.0,3000,Petrol,Individual,Manual,0
291,brio,2015,540000.0,610000.0,31427,Petrol,Dealer,Manual,0
8,ciaz,2016,875000.0,889000.0,20273,Diesel,Dealer,Manual,0
70,etios liva,2014,395000.0,676000.0,71000,Diesel,Dealer,Manual,0
265,jazz,2017,650000.0,869999.9999999999,21200,Petrol,Dealer,Manual,0
64,fortuner,2017,3300000.0,3622999.9999999995,6000,Diesel,Dealer,Automatic,0
44,omni,2012,125000.0,269000.0,50000,Petrol,Dealer,Manual,0
237,creta,2015,1125000.0,1360000.0,68000,Diesel,Dealer,Manual,0
156,TVS Sport ,2017,48000.0,52000.0,15000,Petrol,Individual,Manual,0
40,baleno,2016,585000.0,787000.0,24524,Petrol,Dealer,Automatic,0
123,Royal Enfield Classic 350,2013,100000.0,147000.0,46500,Petrol,Individual,Manual,0
284,brio,2013,350000.0,590000.0,9800,Petrol,Dealer,Manual,0
216,eon,2016,290000.0,443000.0,12500,Petrol,Dealer,Manual,0
153,Bajaj Pulsar NS 200,2013,50000.0,99000.0,45000,Petrol,Individual,Manual,0
23,alto k10,2014,250000.0,346000.0,45280,Petrol,Dealer,Manual,0
262,amaze,2015,400000.0,580000.0,40023,Petrol,Dealer,Manual,0
110,KTM RC200,2016,120000.0,178000.0,6000,Petrol,Individual,Manual,0
81,etios gd,2015,475000.0,785000.0,40000,Diesel,Dealer,Manual,0
207,grand i10,2015,515000.00000000006,570000.0,34797,Petrol,Dealer,Automatic,0
212,creta,2016,1125000.0,1360000.0,22671,Petrol,Dealer,Manual,0
39,sx4,2003,225000.0,798000.0,62000,Petrol,Dealer,Manual,0
242,xcent,2014,440000.00000000006,713000.0,34000,Petrol,Dealer,Manual,0
292,jazz,2016,640000.0,840000.0,12000,Petrol,Dealer,Manual,0
259,amaze,2014,390000.0,700000.0,36054,Petrol,Dealer,Manual,0
199,Honda CB Shine,2007,12000.0,57999.99999999999,53000,Petrol,Individual,Manual,0
14,dzire,2009,225000.0,721000.0,77427,Petrol,Dealer,Manual,0
47,wagon r,2006,105000.0,415000.00000000006,65000,Petrol,Dealer,Manual,0
94,corolla altis,2008,400000.0,2278000.0,89000,Petrol,Dealer,Automatic,0
264,amaze,2015,400000.0,700000.0,40026,Petrol,Dealer,Manual,0
227,i10,2011,254999.99999999997,443000.0,57000,Petrol,Dealer,Manual,0
274,brio,2014,530000.0,680000.0,16500,Petrol,Dealer,Manual,0
201,i20,2010,325000.0,679000.0,58000,Diesel,Dealer,Manual,1
161,TVS Apache RTR 180,2014,45000.0,82600.0,23000,Petrol,Individual,Manual,0
43,dzire,2014,550000.0,806000.0,45780,Diesel,Dealer,Manual,0
217,eon,2016,315000.0,443000.0,15000,Petrol,Dealer,Manual,0
145,TVS Apache RTR 160,2012,60000.0,81000.0,19000,Petrol,Individual,Manual,0
190,Bajaj Pulsar 150,2008,20000.0,75000.0,60000,Petrol,Individual,Manual,0
220,eon,2017,350000.0,443000.0,38488,Petrol,Dealer,Manual,0
255,brio,2012,300000.0,535000.0,53675,Petrol,Dealer,Manual,0
3,wagon r,2011,285000.0,415000.00000000006,5200,Petrol,Dealer,Manual,0
105,KTM RC390,2015,135000.0,237000.0,21700,Petrol,Individual,Manual,0
53,fortuner,2013,1600000.0,3061000.0,135000,Diesel,Individual,Automatic,0
133,Bajaj Avenger 220,2016,72000.0,95000.0,500,Petrol,Individual,Manual,0
253,city,2014,720000.0,990000.0,48000,Diesel,Dealer,Manual,0
1,sx4,2013,475000.0,953999.9999999999,43000,Diesel,Dealer,Manual,0
49,ciaz,2017,775000.0,928999.9999999999,37000,Petrol,Dealer,Automatic,0
80,corolla altis,2016,1473000.0,1489000.0,23000,Diesel,Dealer,Manual,0
205,grand i10,2016,525000.0,570000.0,3493,Petrol,Dealer,Manual,1
34,dzire,2014,550000.0,806000.0,45000,Diesel,Dealer,Manual,0
91,innova,2014,1125000.0,1609000.0,58242,Diesel,Dealer,Manual,0
52,innova,2017,1800000.0,1977000.0,15000,Diesel,Dealer,Automatic,0
241,xcent,2015,475000.0,713000.0,35866,Petrol,Dealer,Manual,1
13,ertiga,2015,610000.0,771000.0,26000,Petrol,Dealer,Manual,0
88,etios liva,2013,345000.0,605000.0,47000,Petrol,Dealer,Manual,0
166,Hero Passion Pro,2016,45000.0,55000.00000000001,1000,Petrol,Individual,Manual,0
295,city,2015,855000.0000000001,1309000.0,60076,Diesel,Dealer,Manual,0
134,TVS Apache RTR 160,2017,65000.0,81000.0,11800,Petrol,Individual,Manual,0
288,city,2015,840000.0,1360000.0,34000,Petrol,Dealer,Manual,0
243,i20,2016,625000.0,760000.0,7000,Petrol,Dealer,Manual,0
54,innova,2005,275000.0,1021000.0000000001,90000,Petrol,Individual,Manual,0
50,fortuner,2012,1490000.0,3061000.0,104707,Diesel,Dealer,Automatic,0
174,Honda CB Unicorn,2015,38000.0,72000.0,38600,Petrol,Individual,Manual,0
189,Hero Super Splendor,2005,20000.0,56999.99999999999,55000,Petrol,Individual,Manual,0
299,city,2017,1150000.0,1250000.0,9000,Diesel,Dealer,Manual,0
187,Honda CB twister,2013,25000.0,51000.0,32000,Petrol,Individual,Manual,0
169,Hero Splender iSmart,2015,40000.0,54000.0,14000,Petrol,Individual,Manual,0
58,etios g,2014,409999.99999999994,680000.0,39485,Petrol,Dealer,Manual,1
48,ertiga,2015,580000.0,771000.0,25870,Petrol,Dealer,Manual,0
235,verna,2017,910000.0,940000.0,15141,Petrol,Dealer,Manual,0
252,brio,2015,540000.0,682000.0,31427,Petrol,Dealer,Automatic,0
21,ignis,2017,490000.00000000006,571000.0,2400,Petrol,Dealer,Manual,0
160,Bajaj Avenger Street 220,2011,45000.0,95000.0,24000,Petrol,Individual,Manual,0
276,city,2015,865000.0,1360000.0,24800,Petrol,Dealer,Manual,0
191,Bajaj Discover 125,2012,20000.0,56999.99999999999,25000,Petrol,Individual,Manual,1
257,city,2015,850000.0,1360000.0,40324,Petrol,Dealer,Manual,0
149,Bajaj Pulsar 220 F,2016,51000.0,94000.0,24000,Petrol,Individual,Manual,0
130,Honda CB Hornet 160R,2017,75000.0,87000.0,11000,Petrol,Individual,Manual,0
151,Hero Passion X pro,2016,50000.0,55000.00000000001,31000,Petrol,Individual,Manual,0
99,fortuner,2010,965000.0,2045000.0,50024,Diesel,Dealer,Manual,0
87,corolla altis,2012,590000.0,1374000.0,56000,Petrol,Dealer,Manual,0
214,grand i10,2017,525000.0,570000.0,20114,Petrol,Dealer,Manual,0
121,Royal Enfield Thunder 350,2011,105000.0,150000.0,6900,Petrol,Individual,Manual,0
300,brio,2016,530000.0,590000.0,5464,Petrol,Dealer,Manual,0
20,alto k10,2016,285000.0,395000.0,25000,Petrol,Dealer,Manual,0
188,Hero Glamour,2013,25000.0,56999.99999999999,18000,Petrol,Individual,Manual,0
71,corolla altis,2011,450000.0,1248000.0,45000,Diesel,Dealer,Manual,0
106,Hyosung GT250R,2014,135000.0,345000.0,16500,Petrol,Individual,Manual,1
270,city,2011,409999.99999999994,1000000.0,69341,Petrol,Dealer,Manual,0
102,KTM RC200,2017,165000.0,178000.0,4000,Petrol,Individual,Manual,0
